genre,total_anime,average_score,median_score,highest_score,lowest_score
Comedy,1584,6.84,6.88,9.05,3
Action,1123,6.99,7.02,9.1,2.87
Fantasy,973,6.91,6.92,9.29,3.82
Romance,691,7.1,7.14,8.96,4.57
Adventure,606,6.99,6.94,9.29,4.98
Drama,565,7.29,7.29,9.29,5.07
Sci-Fi,506,6.85,6.81,9.07,2.87
Supernatural,402,7.15,7.13,8.99,3.82
Mystery,286,7.19,7.21,8.91,4.66
Slice of Life,285,6.98,7.11,8.72,4.45
Ecchi,252,6.69,6.68,8.62,4.5
Sports,189,7.13,7.11,8.77,3
Suspense,165,7.25,7.25,9.07,3.28
Horror,100,6.69,6.82,8.41,3.28
Gourmet,69,6.88,7.08,8.59,4.62
Girls Love,40,6.98,7.03,7.9,5.3
Award Winning,35,8.02,8.02,8.91,6.65
Boys Love,28,7.19,7.22,8.29,5.78
Avant Garde,20,6.69,6.42,8.13,5.69
Erotica,10,6.27,6.05,7.4,5.53
